"Incident_ID","fatalities"
"20010912KYLAC",1
"20020406MDLEB",1
"20020426LAABN",1
"20021107MOSTL",1
"20021216ILENC",1
"20030330CAROW",1
"20030414LAJON",1
"20030424PARER",1
"20030910MSVIV",1
"20030924MNROC",2
"20031030DCANW",1
"20031108TXHIS",1
"20031229FLABE",1
"20040121NVFAH",1
"20040202DCBAW",1
"20040211PATMP",1
"20040220LAGAS",1
"20040524UTWES",1
"20040830ILPRM",1
"20041022CATYH",1
"20050105PAMUN",1
"20050302TNSTD",1
"20050316PACAP",1
"20050317CALOL",1
"20050321MNRER",8
"20050517PAHIL",1
"20050718NJWEN",2
"20050817CAPLB",1
"20051027CABIF",1
"20051108TNCAJ",1
"20051116TXIRS",1
"20051206CASAG",1
"20060505FLPAM",1
"20060605CAVEL",1
"20060606INWIG",1
"20060731FLYOT",1
"20060817TXMEA",1
"20060819OHSOY",1
"20060824VTESE",1
"20060927COPLB",1
"20060929WIWEC",1
"20061002PAWEN",5
"20061031TNHAK",1
"20061111CALIO",1
"20061122GASAA",1
"20061201NCJOT",1
"20070103WAHET",1
"20070804NJMON",3
"20071221CABAU",1
"20080214CAEOO",1
"20080416CAROF",1
"20080814WALAF",1
"20080821TNCEK",1
"20081016MIHED",1
"20081103CABEB",1
"20081112FLDIF",1
"20081115COTHL",1
"20081115UTDES",1
"20081202CAKIK",1
"20081212NCGUA",1
"20090123ILCAC",1
"20090624IAAPP",1
"20091016SCCAC",1
"20091030CAWIL",1
"20100205ALDIM",1
"20100226WABIT",1
"20100830TNSUB",1
"20101001CAALS",1
"20101023KSTOT",1
"20110105NEMIO",1
"20110202CALOP",1
"20110330TXWOH",1
"20120227OHCHC",3
"20120306FLEPJ",1
"20120525AZWEA",1
"20120525NCMAC",1
"20120706RINAP",1
"20121019ILBAC",1
"20121214CTSAN",26
"20130107FLAPF",1
"20130129ALDAM",1
"20130201MIMAD",1
"20130213CAHIS",1
"20130619FLALW",2
"20130815TNNOC",1
"20130823MSNOS",1
"20131021NVSPS",1
"20131213COARC",1
"20140220MIRAR",1
"20140312FLACM",1
"20140411MIEAD",1
"20140421INSTG",1
"20140521WICLM",1
"20140610ORRET",1
"20140623MOKEB",1
"20140814VASAN",2
"20141003GALAF",1
"20141024WAMAM",4
"20141120FLMIM",1
"20141216PASUP",1
"20150215CATEM",1
"20150504OHWIC",1
"20150627CTSAH",1
"20150724TXELC",1
"20151024TXEDS",1
"20160212AZING",1
"20160505MDHIB",1
"20160608MAJED",1
"20160616ILMCC",1
"20160928SCTOT",1
"20170127ILSCN",1
"20170410CANOS",1
"20170415ORMEP",1
"20170524NEMCO",1
"20170913WAFRR",1
"20171207NMAZA",2
"20171231LAEDA",2
"20180123KYMAB",2
"20180131PALIP",1
"20180214FLMAP",17
"20180307ALHUB",1
"20180320MDGRG",1
"20180518GAMOA",1
"20180518TXSAS",10
"20180617ORGRP",1
"20180701TNRAM",1
"20180703KSSUO",1
"20180711OHMIM",1
"20180719WAWEY",1
"20180804MDEDE",1
"20180809NJLAM",1
"20180824FLRAJ",1
"20180829DETOD",1
"20180903NYLUN",1
"20180905RIPRP",1
"20180911NVCAL",1
"20180924PACEP",1
"20181013TNMCN",1
"20181020GASHS",1
"20181029NCBUM",1
"20181104KYCRL",1
"20181122TXSKD",1
"20190107CACEB",1
"20190111ORCAE",1
"20190212MOCEK",1
"20190217COEAA",1
"20190507COSTH",1
"20190522OHSAC",1
"20190629COJAC",2
"20190711CTBUH",1
"20190823MOROS",1
"20190824PAWIP",1
"20190902MDNOB",1
"20190906PAMCJ",1
"20190916VAPHH",1
"20191108TXROD",1
"20191113CAESL",1
"20191114CASAS",2
"20191115NJPLP",1
"20191124CASEU",2
"20191201ALMOM",1
"20191219FLLEN",1
"20191228MOMAS",1
"20200111TXELD",1
"20200114TXBEH",1
"20200131CADEA",1
"20200215DCDUW",1
"20200315TXATH",1
"20200505CAGOV",3
"20200522OHMIC",1
"20200616FLTOM",1
"20200618INJOI",1
"20200704INLAM",1
"20200721SCBRO",1
"20200804PAKEP",1
"20200830TXLOD",1
"20200903GADOA",1
"20200916CASOS",1
"20201005ARKIH",1
"20201013RIRHP",1
"20201020ARJAP",1
"20201026GARIR",1
"20201029FLLAM",2
"20201109TXCOH",1
"20201112PANAH",1
"20201207ILEAC",1
"20201216ILDUC",1
"20210114MDHIW",1
"20210210NJSCP",1
"20210210TXFOF",1
"20210214MNROM",2
"20210219ILLIR",1
"20210226LAGEN",1
"20210301ARWAP",1
"20210315INMEM",1
"20210324ORFOS",1
"20210327MAPEC",1
"20210411INBIH",1
"20210418OHWED",1
"20210420TXHAH",1
"20210427DESMS",1
"20210429NYURB",1
"20210514CASAS",1
"20210607TXEAF",1
"20210608KSHAK",1
"20210612MOMCF",1
"20210613PAWIP",1
"20210704NYDRR",1
"20210727WATYS",1
"20210807ORGIP",1
"20210813NMWAA",1
"20210817COYED",1
"20210827PAACS",1
"20210830NJWEN",1
"20210901ILFRC",1
"20210901NCMTW",1
"20211007DCWAW",1
"20211014MEREP",1
"20211119MDGIB",1
"20211130MIOXO",4
"20211130TNHUH",1
"20211206CAWIW",1
"20211207ILHAC",1
"20211212NYSCR",1
"20211214VAMEN",1
"20220117TXPYH",2
"20220119PAPIP",1
"20220126PABAP",1
"20220129WIBEB",1
"20220201MNSOR",1
"20220219VACAC",1
"20220220MSMCM",1
"20220221MDJOH",1
"20220222COLIP",1
"20220222TXALH",1
"20220225NMWEA",1
"20220227DCDUW",1
"20220307IAEAD",1
"20220310MDCOL",1
"20220315WAEIY",1
"20220331SCTAG",1
"20220410MALYL",1
"20220421NDMOM",1
"20220424MOHAF",1
"20220426GASOM",1
"20220501OHHAC",1
"20220509NYEDS",1
"20220512ARHOH",1
"20220513FLALW",1
"20220518TNRIM",1
"20220520TNEAC",1
"20220524TXROU",20
"20220526SCMEG",1
"20220531LAMON",1
"20220609ALWAG",1
