"Incident_ID","Media_Attention","School_Level","pct_White","pct_Black","pct_Hispanic","pct_Asian","fatalities"
"20201229WAROS","Local",3,0.533986928104575,0.0477124183006536,0.14640522875817,0.030718954248366,0
"20201216ILDUC","Local",1,0.00458715596330275,0.944954128440367,0.0458715596330275,0,1
"20201211VATAY","Local",2,0.568232662192394,0.130872483221477,0.120805369127517,0.058165548098434,0
"20201125KSABG","Local",1,0.149532710280374,0.0280373831775701,0.791277258566978,0.00623052959501558,0
"20201113NCLIL","International",1,0.425981873111782,0.181268882175227,0.300604229607251,0,0
"20201109TXCOH","Local",1,0.0115207373271889,0.160138248847926,0.63594470046083,0.183179723502304,1
"20201026GARIR","Local",3,0.00905660377358491,0.768301886792453,0.175849056603774,0.0332075471698113,1
"20201018KYSEL","Local",3,0.327480916030534,0.426717557251908,0.163358778625954,0.050381679389313,0
"20201014WAWAS","Local",1,0.0569715142428786,0,0.937031484257871,0,0
"20201005OKSOM","Local",3,0.459432048681542,0.0644016227180527,0.18052738336714,0.0562880324543611,0
"20200925ILROR","Local",1,0.0791208791208791,0.696703296703297,0.0813186813186813,0.0615384615384615,0
"20200924ILMCS","Local",1,0.348314606741573,0.466292134831461,0.00561797752808989,0.00561797752808989,0
"20200923PAWIW","Local",3,0.736585365853659,0.043360433604336,0.164227642276423,0.0287262872628726,0
"20200920UTLIS","Local",1,0.345268542199488,0.0971867007672634,0.365728900255754,0.0920716112531969,0
"20200916WAARG","Local",1,0.764845605700713,0.00712589073634204,0.0855106888361045,0.0118764845605701,0
"20200915UTVIB","Regional",3,0.857971014492754,0.0036231884057971,0.0804347826086956,0.0188405797101449,0
"20200904FLLOJ","Local",1,0.373096446700508,0.370558375634518,0.129441624365482,0.0406091370558376,0
"20200903GADOA","Local",3,0.0333633904418395,0.901713255184851,0.0414788097385032,0,1
"20200825MOWEC","Local",2,0.581847649918963,0.231766612641815,0.0502431118314425,0.0275526742301459,0
"20200419NCABR","Local",1,0.605442176870748,0.216553287981859,0.0884353741496599,0.0374149659863946,0
"20200310PASHN","Local",1,0.94,0.00909090909090909,0.00909090909090909,0.00181818181818182,0
"20200212MOJOF","Local",1,0.0284090909090909,0.926136363636364,0.00852272727272727,0,0
"20190809NJWEN","Local",3,0,0.865040650406504,0.128455284552846,0.00650406504065041,0
"20190522OHSAC","Local",1,0.111392405063291,0.663291139240506,0.106329113924051,0.0253164556962025,1
"20181213INDER","National",2,0.66,0.0676923076923077,0.110769230769231,0.0138461538461538,0
"20181029NCBUM","National",3,0.353472882968601,0.290199809705043,0.241198858230257,0.0670789724072312,1
"20180905RIPRP","Local",3,0.0377643504531722,0.125377643504532,0.734138972809668,0.0619335347432024,1
"20180831IANOE","Local",2,0.872832369942196,0.0250481695568401,0.0520231213872832,0.00770712909441233,0
"20180830NCVIC","Local",1,0.15,0.63,0.08,0.06,0
"20180625OHFUS","Local",1,0.288184438040346,0.406340057636888,0.121037463976945,0.00576368876080692,0
"20180624MTSEM","Local",3,0.876971608832808,0.029179810725552,0.0260252365930599,0.0205047318611987,0
"20180621TXSKD","Local",3,0.0125325135965949,0.230314495152518,0.74367462757153,0.004019862851738,0
"20180518TXSAS","National",3,0.736920777279522,0.00224215246636771,0.229446935724963,0.00373692077727952,10
"20180420FLFOO","National",3,0.605922551252847,0.15626423690205,0.165831435079727,0.0186788154897494,0
"20180316MTBIM","Local",3,0.842293906810036,0.0188172043010753,0.0304659498207885,0.0241935483870968,0
"20180205MDOXO","International",3,0.0193370165745856,0.61878453038674,0.25828729281768,0.074585635359116,0
"20180131PALIP","Local",3,0.164914222468179,0.390149418926397,0.320973990038738,0.0558937465412286,1
"20180123KYMAB","National",3,0.963649851632048,0.00222551928783383,0.0185459940652819,0.00445103857566766,2
"20180122TXITI","National",3,0.515384615384615,0.115384615384615,0.330769230769231,0,0
"20170920ILMAM","Regional",3,0.882527147087858,0.035538005923001,0.0434353405725568,0.0069101678183613,0
"20170913WAFRR","National",3,0.886904761904762,0.00892857142857143,0.0595238095238095,0.0297619047619048,1
"20170616ILWAC","National",1,0,0.987179487179487,0.00854700854700855,0,0
"20170415ORMEP","Local",1,0.371002132196162,0.127931769722815,0.264392324093817,0.110874200426439,1
"20170218MNMAM","Local",2,0.337570621468927,0.187853107344633,0.193502824858757,0.196327683615819,0
"20161201UTMUB","National",2,0.807875894988067,0.022673031026253,0.100238663484487,0.0143198090692124,0
"20161111MIBAA","Local",3,0.943471337579618,0.0071656050955414,0.0230891719745223,0.00636942675159236,0
"20161025UTUNS","Regional",2,0.674860335195531,0.0145251396648045,0.230167597765363,0.0111731843575419,0
"20161013OHLIC","Local",3,0.0745428973277075,0.819971870604782,0.0590717299578059,0.00421940928270042,0
"20160928TNSYP","National",2,0.929411764705882,0.0183006535947712,0.0326797385620915,0.0065359477124183,0
"20160616ILMCC","Local",1,0.00755667506297229,0.866498740554156,0.115869017632242,0.00251889168765743,1
"20160608MAJED","International",3,0.032719836400818,0.7280163599182,0.224948875255624,0.00613496932515337,1
"20160513SCSOG","Local",3,0.16258064516129,0.607741935483871,0.131612903225806,0.0580645161290323,0
"20160505MDHIB","Regional",3,0.0166666666666667,0.237209302325581,0.704263565891473,0.0348837209302326,1
"20160423WIANA","International",3,0.902348578491965,0.00494437577255871,0.0420271940667491,0.0111248454882571,0
"20151015TXKAS","Local",3,0.0898230088495575,0.3,0.574778761061947,0.0168141592920354,0
"20150930SDHAH","Local",3,0.920199501246883,0.0149625935162095,0.0211970074812968,0.0112219451371571,0
