"Incident_ID","Media_Attention","School_Level","pct_White","pct_Black","pct_Hispanic","pct_Asian","fatalities"
"20201229WAROS","Local",3,0.533986928104575,0.0477124183006536,0.14640522875817,0.030718954248366,0
"20201216ILDUC","Local",1,0.00458715596330275,0.944954128440367,0.0458715596330275,0,1
"20201211VATAY","Local",2,0.568232662192394,0.130872483221477,0.120805369127517,0.058165548098434,0
"20201125KSABG","Local",1,0.149532710280374,0.0280373831775701,0.791277258566978,0.00623052959501558,0
"20201117TXWEW","Regional",3,0.664026677782409,0.0291788245102126,0.266777824093372,0.0100041684035015,0
"20201117MTGRG","Local",3,0.721543408360129,0.0289389067524116,0.0559485530546624,0.0109324758842444,0
"20201116TNWIM","Local",1,0.00652173913043478,0.841304347826087,0.134782608695652,0,0
"20201113NCLIL","International",1,0.425981873111782,0.181268882175227,0.300604229607251,0,0
"20201109TXCOH","Local",1,0.0115207373271889,0.160138248847926,0.63594470046083,0.183179723502304,1
"20201026GARIR","Local",3,0.00905660377358491,0.768301886792453,0.175849056603774,0.0332075471698113,1
"20201018KYSEL","Local",3,0.327480916030534,0.426717557251908,0.163358778625954,0.050381679389313,0
"20201014WAWAS","Local",1,0.0569715142428786,0,0.937031484257871,0,0
"20201012TXNOD","Local",3,0.0276381909547739,0.21608040201005,0.723618090452261,0.0150753768844221,0
"20201012MNSHS","Local",3,0.565775401069519,0.116221033868093,0.138680926916221,0.116221033868093,0
"20201009FLJEJ","Local",3,0.0291666666666667,0.927083333333333,0.0194444444444444,0.00208333333333333,0
"20201005OKSOM","Local",3,0.459432048681542,0.0644016227180527,0.18052738336714,0.0562880324543611,0
"20200925ILROR","Local",1,0.0791208791208791,0.696703296703297,0.0813186813186813,0.0615384615384615,0
"20200924ILMCS","Local",1,0.348314606741573,0.466292134831461,0.00561797752808989,0.00561797752808989,0
"20200923PAWIW","Local",3,0.736585365853659,0.043360433604336,0.164227642276423,0.0287262872628726,0
"20200920UTLIS","Local",1,0.345268542199488,0.0971867007672634,0.365728900255754,0.0920716112531969,0
"20200918KYWIL","Local",2,0.218204488778055,0.340399002493766,0.377805486284289,0.0311720698254364,0
"20200917ORDRP","Local",1,0.279874213836478,0.308176100628931,0.210691823899371,0.0566037735849057,0
"20200917OHELA","Local",3,0.65599173553719,0.198347107438017,0.0144628099173554,0.0144628099173554,0
"20200916WAARG","Local",1,0.764845605700713,0.00712589073634204,0.0855106888361045,0.0118764845605701,0
"20200915UTVIB","Regional",3,0.857971014492754,0.0036231884057971,0.0804347826086956,0.0188405797101449,0
"20200904FLLOJ","Local",1,0.373096446700508,0.370558375634518,0.129441624365482,0.0406091370558376,0
"20200903GADOA","Local",3,0.0333633904418395,0.901713255184851,0.0414788097385032,0,1
"20200825MOWEC","Local",2,0.581847649918963,0.231766612641815,0.0502431118314425,0.0275526742301459,0
"20200721SCBRO","Local",1,0.0107142857142857,0.921428571428571,0.0392857142857143,0.00357142857142857,1
"20200704INLAM","Local",1,0.193995381062356,0.526558891454965,0.103926096997691,0,1
"20200627VAHAS","Local",2,0.474654377880184,0.423041474654378,0.047926267281106,0.0101382488479263,0
"20200419NCABR","Local",1,0.605442176870748,0.216553287981859,0.0884353741496599,0.0374149659863946,0
"20200310PASHN","Local",1,0.94,0.00909090909090909,0.00909090909090909,0.00181818181818182,0
"20200212MOJOF","Local",1,0.0284090909090909,0.926136363636364,0.00852272727272727,0,0
"20190809NJWEN","Local",3,0,0.865040650406504,0.128455284552846,0.00650406504065041,0
"20190522OHSAC","Local",1,0.111392405063291,0.663291139240506,0.106329113924051,0.0253164556962025,1
"20190425GAWYS","National",1,0.00499375780274657,0.950062421972534,0.0224719101123595,0.00249687890137328,0
