Incident_ID,Sources,Number_News,Media_Attention,Reliability,Date,Quarter,School,City,State,School_Level,Location,Location_Type,During_School,Time_Period,First_Shot,Summary,Narrative,Situation,Targets,Accomplice,Hostages,Barricade,Officer_Involved,Bullied,Domestic_Violence,Gang_Related,Preplanned,Shots_Fired,Active_Shooter_FBI,Year,Month,Day,Date_Week_Later,Query_Date,Query_Date_Week_Later
20190906ALCEC,https://www.al.com/news/birmingham/2019/09/shots-fired-near-alabama-high-school-football-game-temporarily-stop-play-no-injures.html,,,3,2019-09-06,Fall,Center Point High School,Center Point,AL,High,Football Field/Track,Outside on School Property,No,Sport Event,9:00 PM,8-9 shots fired from woods by football stadium during game,8-9 shots were fired from the woods near the high school football game with 5:00 minutes remaining in the game. Police at the stadium searched the area and the game was suspended for 40 minutes. PA announcer told players and fans to take cover. No shooter was located.,Indiscriminate Shooting,,,No,No,No,No,No,,No,8,No,2019,9,6,2019-09-13,2019-09-06T00:00:00Z,2019-09-13T00:00:00Z
20190902MDNOB,https://www.wmar2news.com/news/crime-checker/baltimore-city-crime/triple-shooting-near-elementary-school-leaves-one-man-dead-on-monday,,,3,2019-09-02,Fall,Northwood Elementary School,Baltimore,MD,Elementary,Courtyard,Outside on School Property,No,Evening,8:00 PM,Adult male killed and two other adult men injured by unknown shooter in school courtyard,One adult male found unresponsive (killed by gunshot) and two adult males were shot in elementary school courtyard. No further information or motive known. Shooter fled the scene.,Escalation of Dispute,,,No,No,No,No,No,,No,,No,2019,9,2,2019-09-09,2019-09-02T00:00:00Z,2019-09-09T00:00:00Z
20190830OHCET,https://www.13abc.com/content/news/Juvenile-shot-on-Central-Catholic-grounds-after-altercation-following-football-game-558889751.html,,,4,2019-08-30,Summer,Central Catholic High School,Toledo,OH,High,Football Field/Track,Outside on School Property,No,Sport Event,9:30 PM,16YOM non-student shot when crowd was exiting football game,16YOM non-student was shot while crowd was exiting the football field by unknown shooter (police said shooter was not student). Police said the shooting was the result of a fight. Shooter fled the area in a vehicle. School security said that all bags will be searched and additional officers will be assigned to the school for future events. Non-students will not be allowed to enter the stadium after future games begin.,Escalation of Dispute,Random Shooting,No,No,No,No,No,No,No,No,<10,No,2019,8,30,2019-09-06,2019-08-30T00:00:00Z,2019-09-06T00:00:00Z
20190830NCKIK,https://www.wnct.com/news/2-arrested-in-connection-to-a-shooting-at-a-kinston-football-game/,,,4,2019-08-30,Summer,Kinston High School,Kingston,NC,High,Parking Lot,Outside on School Property,No,Sport Event,10:00 PM,Shots fired into air the parking lot after football game,Multiple shots were fired into the air in the parking lot following a high school football game. Police stopped a vehicle attempting to flee the area and arrested two teens (17YOM and 19YOM). Neither were students at the school.,Escalation of Dispute,Neither,Yes,No,No,No,No,No,,No,<10,No,2019,8,30,2019-09-06,2019-08-30T00:00:00Z,2019-09-06T00:00:00Z
20190830ALLAM,https://www.fox10tv.com/news/mobile_county/defendant-in-ladd-peebles-shooting-has-16-school-disciplinary-incidents-prosecutors-say/article_cf052f76-a3ae-11eb-b8f5-9ffcda8c0ce8.html?block_id=1002690 https://abcnews.go.com/US/10-teens-shot-high-school-football-game-alabama/story?id=65309106 https://abc11.com/10-teens-injured-in-shooting-at-high-school-football-game-in-alabama-/5504745/ https://www.cnn.com/2019/08/31/us/mobile-ladd-peebles-stadium-shooting/index.html https://www.abc15.com/national/6-teens-shot-at-end-of-high-school-football-game-in-alabama https://www.al.com/news/mobile/2019/09/police-football-stadium-shooter-started-as-bystander.html https://www.fox10tv.com/news/ladd-peebles-stadium-shooting-suspect-pleads-not-guilty/article_b0960ce2-cf23-11e9-b843-6fbec1c7de48.html,,,4,2019-08-30,Summer,Ladd-Peebles Stadium,Mobile,AL,High,Off School Property,Off School Property,No,Sport Event,22:00:00,10 teens shot after 17YO fired shots into crowd following dispute,,Escalation of Dispute,Both,,No,No,No,No,No,Yes,No,,Yes,2019,8,30,2019-09-06,2019-08-30T00:00:00Z,2019-09-06T00:00:00Z
20190827NYROR,https://patch.com/new-york/merrick/shooting-long-island-school-causes-lockdown,,,3,2019-08-27,Summer,Roosevelt High School,Roosevelt,NY,High,Field (General),Outside on School Property,No,Not a School Day,9:00 AM,Man fired 3 shots into the ground during dispute the school staff about landscaping,Adult male fired 3 shots into the ground during dispute with school custodial staff about landscaping. Shooter then fled the scene to his nearby home where he was involved with a barricade situation until surrendering to law enforcement. School was not in-session but 100 students and 40 staff were inside the school at the time of the shooting for athletics. School was placed on lockdown following shooting and during barricade.,Escalation of Dispute,Victims Targeted,No,No,No,No,No,No,No,No,3,No,2019,8,27,2019-09-03,2019-08-27T00:00:00Z,2019-09-03T00:00:00Z
20190827CAHOL,https://losangeles.cbslocal.com/2019/09/11/boy-shot-in-jaw-on-boyle-heights-school-campus-last-month-lausd-confirms/ https://www.latimes.com/california/story/2019-09-11/hollenbeck-parents-and-students-react-to-shooting-that-injured-student-in-lunch-line,,,4,2019-08-27,Summer,Hollenbeck Middle School,Los Angeles,CA,High,Cafeteria,Off School Property,Yes,Lunch,11:00 AM,Student hit by bullet in lunch line. Shot fired from off campus.,Student standing in lunch line felt sharp pain in jaw and went to nurses office. X-ray later showed bullet in students neck. Shot was fired from off campus. No other students were hurt. School did not report shooting to police until 3pm (occurred at 11 AM). Parents were not notified that student was shot until 9/12/2019. No suspect or motive.,Unknown,,,No,No,No,No,No,,No,,No,2019,8,27,2019-09-03,2019-08-27T00:00:00Z,2019-09-03T00:00:00Z
20190824PAWIP,https://philadelphia.cbslocal.com/2019/08/24/teen-fighting-for-life-after-being-shot-in-back-of-head-in-kingsessing-police-say/ https://philadelphia.cbslocal.com/2019/08/25/neighbors-want-suspect-teen-shooting-elementary-school-playground-southwest-philadelphia/,,,4,2019-08-24,Summer,William C. Longstreth Elementary School,Philadelphia,PA,Elementary,Playground,Outside on School Property,No,Evening,7:00 PM,14YOM shot and killed on school playground during argument,"14YOM shot and killed and school playground. Body was carried out to the street where the victim was found and taken to the hospital. Shot twice, 6 shots fired. Police said the shooting occured after an argument. Not sure if the victim was the intended target. Shooter fled the scene. School was not open during the shooting.",Escalation of Dispute,Victims Targeted,,No,No,No,No,No,No,No,6,No,2019,8,24,2019-08-31,2019-08-24T00:00:00Z,2019-08-31T00:00:00Z
20190823MOROS,https://www.stltoday.com/news/kristina-curry-found-dead-with-gunshot-wounds-at-roosevelt-high/article_965e67bc-9a38-577b-8346-2cb10be3843a.html,,,3,2019-08-23,Summer,Roosevelt High School,St. Louis,MO,High,Parking Lot,Outside on School Property,No,Night,5:00 AM,16YOF student found dead (multiple shots) behind school,16YOF found dead in a rear parking lot behind the high school from multiple gun shots. School was not in session. No further information available.,Unknown,Victims Targeted,,No,No,No,,,,No,,No,2019,8,23,2019-08-30,2019-08-23T00:00:00Z,2019-08-30T00:00:00Z
20190823MOPAS,https://www.kmov.com/news/gunshot-reported-during-multiple-fights-at-parkway-north-high-school/article_837181ce-c60e-11e9-800e-23706c271ea8.html https://fox2now.com/2019/08/23/witnesses-say-shots-fired-near-parkway-north-football-jamboree/,,,3,2019-08-23,Summer,Parkway North High School,St. Louis,MO,High,Football Field/Track,Outside on School Property,No,Sport Event,8:15 PM,Shots fired during fight at football jamboree,"Shots fired during one of multiple fights during the football jamboree. Witnesses reported gunshots and seeing a person with a gun but no one was shot and the shooter fled. The event was shut down following the reported shooting. 3,000 students were at the event. Mass panic in the stadium as hundreds of people ran after hearing the shots. 12 police officers were assigned to the event.",Escalation of Dispute,,No,No,No,No,No,No,No,No,<5,No,2019,8,23,2019-08-30,2019-08-23T00:00:00Z,2019-08-30T00:00:00Z
